sample_id,roi_id,interaction_id,frame_index,timestamp,track_id,backend_name,topology,num_keypoints,overall_confidence,quality_score,processing_time_ms
SMP-INT-0003-144,ROI-INT-0003,INT-0003,144,4.805,1,MediaPipe,COCO_17,17,0.8227,0.7259,27.89
SMP-INT-0003-145,ROI-INT-0003,INT-0003,145,4.838,1,MediaPipe,COCO_17,17,0.7164,0.6321,27.33
SMP-INT-0003-146,ROI-INT-0003,INT-0003,146,4.872,1,MediaPipe,COCO_17,17,0.6808,0.4805,26.84
SMP-INT-0003-147,ROI-INT-0003,INT-0003,147,4.905,1,MediaPipe,COCO_17,17,0.6857,0.5244,26.64
SMP-INT-0003-148,ROI-INT-0003,INT-0003,148,4.938,1,MediaPipe,COCO_17,17,0.7498,0.6175,28.02
SMP-INT-0003-149,ROI-INT-0003,INT-0003,149,4.972,1,MediaPipe,COCO_17,17,0.5,0.5,10.95
SMP-INT-0003-150,ROI-INT-0003,INT-0003,150,5.005,1,MediaPipe,COCO_17,17,0.7307,0.5587,34.0
SMP-INT-0003-151,ROI-INT-0003,INT-0003,151,5.038,1,MediaPipe,COCO_17,17,0.5,0.5,11.36
SMP-INT-0003-152,ROI-INT-0003,INT-0003,152,5.072,1,MediaPipe,COCO_17,17,0.5,0.5,10.94
SMP-INT-0003-153,ROI-INT-0003,INT-0003,153,5.105,1,MediaPipe,COCO_17,17,0.5,0.5,10.99
SMP-INT-0003-154,ROI-INT-0003,INT-0003,154,5.138,1,MediaPipe,COCO_17,17,0.693,0.5299,25.77
SMP-INT-0003-155,ROI-INT-0003,INT-0003,155,5.172,1,MediaPipe,COCO_17,17,0.5,0.5,25.96
SMP-INT-0003-156,ROI-INT-0003,INT-0003,156,5.205,1,MediaPipe,COCO_17,17,0.5,0.5,25.47
SMP-INT-0003-157,ROI-INT-0003,INT-0003,157,5.239,1,MediaPipe,COCO_17,17,0.5,0.5,10.98
SMP-INT-0003-158,ROI-INT-0003,INT-0003,158,5.272,1,MediaPipe,COCO_17,17,0.5,0.5,10.73
